gespr8.1;anspr8.2;ofohr8.3;austs8.4;infrm8.5;etwgs8.6;ptner8.7;ausef8.8;auflt8.9;mitw8.10;eamt8.11;hosp8.12;pdar8.13;eins8.14;besw8.15;ents8.16;eazf8.17;ifpd8.18;betl8.19;gsmt8.20;Kitadauer;Alter;Austausch;Beteiligung
3;3;4;3;4;4;3;3;4;4;4;4;4;4;3;3;4;4;4;4;3;4;3,3333333333;3,8333333333
1;2;4;3;1;3;1;1;3;3;4;4;3;2;2;2;3;3;3;2;4;5;1,7777777778;3
4;3;3;4;3;NA;3;NA;3;3;4;4;NA;NA;2;NA;2;3;3;2;1;4;3,1666666667;3
2;1;1;2;1;2;1;1;1;1;NA;NA;2;2;2;3;1;1;1;1;4;5;1,5555555556;1,5
3;3;3;3;3;3;3;3;3;3;3;3;3;2;3;NA;2;3;3;2;2;3;2,8888888889;2,8181818182
3;3;3;3;3;3;2;2;2;2;NA;3;3;NA;3;NA;3;3;3;2;2;3;2,75;2,7777777778
2;1;1;2;1;NA;1;1;4;2;3;NA;1;1;1;1;NA;2;3;2;3;5;1,25;1,9
4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;3;3;4;4;1;2;4;3,75
3;3;4;3;2;2;2;2;3;NA;NA;NA;2;2;3;NA;3;3;NA;2;1;2;2,4444444444;2,8571428571
4;4;4;4;4;4;2;NA;3;3;4;4;3;4;4;3;3;2;3;4;4;5;3,75;3,3333333333
4;4;4;4;3;NA;3;2;3;4;4;NA;3;3;4;4;3;3;3;4;2;4;3,375;3,4545454545
3;3;NA;3;2;3;2;3;3;NA;NA;NA;2;NA;NA;2;2;2;3;2;4;5;2,7142857143;2,3333333333
2;3;4;3;2;4;2;2;2;4;3;4;3;NA;NA;4;3;3;4;2;3;3;2,5714285714;3,4
4;4;4;4;2;3;1;1;2;4;4;4;4;1;3;1;4;4;4;2;3;5;2,5555555556;3,25
2;3;3;3;2;NA;2;NA;3;3;3;3;3;2;3;NA;3;NA;3;2;2;3;2,4285714286;2,9
4;4;4;4;4;4;1;4;4;4;4;NA;3;2;NA;3;NA;NA;NA;4;1;3;3,375;3,4285714286
4;4;4;4;4;4;NA;4;4;4;4;NA;3;2;4;NA;NA;NA;NA;4;2;4;3,75;3,5714285714
3;4;4;3;2;2;1;1;4;3;4;3;3;2;NA;3;NA;NA;NA;4;1;2;2,25;3,25
3;4;3;3;3;4;2;1;3;3;3;3;3;3;3;NA;2;3;3;2;3;4;2,8888888889;2,9090909091
3;4;4;4;3;3;3;2;3;2;3;3;3;3;3;2;3;3;3;2;2;3;3,1111111111;2,9166666667
4;4;4;4;4;4;4;4;4;3;3;3;4;4;4;4;3;4;4;4;3;5;4;3,6666666667
4;4;4;4;4;4;4;NA;4;2;3;NA;3;3;3;2;4;3;3;4;2;3;3,75;3,0909090909
3;4;3;4;3;3;3;3;4;3;NA;3;3;4;4;4;3;3;3;4;2;5;3,4444444444;3,3636363636
2;3;3;2;2;2;2;1;4;4;4;3;4;1;2;3;3;3;3;2;3;4;1,8888888889;3,0833333333
2;2;2;2;1;NA;1;1;1;NA;NA;NA;2;1;2;NA;NA;NA;NA;1;1;NA;1,5;1,6
3;3;3;4;2;3;2;3;3;NA;3;NA;2;2;4;3;1;NA;4;2;3;5;2,8888888889;2,7777777778
2;3;4;3;2;3;2;2;NA;3;3;4;2;NA;3;2;3;3;3;2;3;4;2,5;3
3;4;NA;4;3;3;3;3;2;2;3;3;NA;NA;3;4;3;3;4;NA;2;3;3,25;3
3;4;3;3;2;3;2;2;3;NA;NA;NA;2;2;3;2;2;2;2;2;4;5;2,6666666667;2,3333333333
4;4;3;NA;3;NA;NA;2;4;4;4;4;4;NA;3;4;4;4;4;4;1;2;3,2;3,8181818182
3;4;4;4;3;4;3;4;4;4;4;4;3;3;4;3;3;3;3;4;2;5;3,5555555556;3,5
4;4;3;4;3;4;4;3;4;4;4;4;4;3;3;1;3;3;3;2;1;2;3,5555555556;3,25
3;4;4;4;4;4;3;4;4;4;4;4;4;4;4;4;4;4;4;4;1;2;3,7777777778;4
3;4;4;4;3;3;2;2;3;4;4;3;4;NA;4;4;4;4;4;2;2;3;3,125;3,8181818182
2;3;3;4;3;4;2;2;3;3;4;3;3;NA;3;3;NA;NA;NA;2;1;3;2,875;3,125
3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;3;2;1;2;3;3
2;3;3;3;2;3;2;NA;3;NA;3;NA;2;NA;3;2;NA;2;3;2;4;5;2,5714285714;2,625
3;3;3;3;3;3;2;2;2;3;NA;NA;3;2;3;3;3;3;3;2;4;5;2,6666666667;2,8
3;3;3;3;3;3;3;3;3;4;4;4;3;2;3;3;3;3;4;2;4;5;2,8888888889;3,25
3;4;4;4;2;4;NA;NA;3;4;NA;4;3;3;3;4;4;4;4;4;2;3;3,2857142857;3,6363636364
4;4;4;4;4;4;3;3;3;3;NA;NA;4;4;4;4;4;4;4;4;1;3;3,7777777778;3,8
3;3;4;4;4;4;3;NA;4;4;4;3;3;NA;3;3;4;4;4;4;4;5;3,4285714286;3,6363636364
4;4;4;4;3;3;4;NA;3;4;3;3;NA;1;NA;2;3;2;4;2;2;3;3,2857142857;2,9
