;factor1
1;3,3333333333
2;1,7777777778
3;3,1666666667
4;1,5555555556
5;2,8888888889
6;2,75
7;1,25
8;4
9;2,4444444444
10;3,75
11;3,375
12;2,7142857143
13;2,5714285714
14;2,5555555556
15;2,4285714286
16;3,375
17;3,75
18;2,25
19;2,8888888889
20;3,1111111111
21;4
22;3,75
23;3,4444444444
24;1,8888888889
25;1,5
26;2,8888888889
27;2,5
28;3,25
29;2,6666666667
30;3,2
31;3,5555555556
32;3,5555555556
33;3,7777777778
34;3,125
35;2,875
36;3
37;2,5714285714
38;2,6666666667
39;2,8888888889
40;3,2857142857
41;3,7777777778
42;3,4285714286
43;3,2857142857
44;3,4444444444
45;3,3333333333
46;2,6666666667
47;2,1111111111
48;3,625
49;2,4444444444
50;2,8888888889
51;3,4444444444
52;2,3333333333
53;3,1428571429
54;1,75
55;2,6666666667
56;2,8571428571
57;3,2857142857
58;3,8888888889
59;3,5555555556
60;2,8333333333
61;2,8888888889
62;4
63;2,625
64;2,8333333333
65;3,6666666667
66;3,1428571429
67;2,125
68;2,1111111111
69;3,1111111111
70;3,2
71;3
72;3,3333333333
73;3,375
74;2,25
75;3,6666666667
76;2,5714285714
77;2,7777777778
78;3,2857142857
79;3,5714285714
80;4
81;3,7777777778
82;3,2222222222
83;1,8888888889
84;3,2222222222
85;1,5555555556
86;2,2857142857
87;3,7142857143
88;2,5
89;3,1111111111
90;3,75
91;2,6666666667
92;3,5
93;3,25
94;1
95;3,6666666667
96;2,3333333333
97;3,25
98;2,875
99;1,4444444444
100;3,7777777778
101;3
102;3,5
103;3,2222222222
104;2,125
105;2,8571428571
106;2,8571428571
107;1,8888888889
108;1
109;2,5
110;3,3333333333
111;4
112;2,8888888889
113;2,2222222222
114;3,6666666667
115;3,3333333333
116;3,6666666667
117;3,2222222222
118;2,75
119;2,5
120;2,7777777778
121;1,8333333333
122;2,3333333333
123;1,1111111111
124;1,4285714286
125;2,625
126;2,2857142857
127;1,875
128;2,5555555556
129;1,8571428571
130;3
131;3,375
132;2
133;3
134;2,3333333333
135;1,125
136;3,5
137;3
138;2,7777777778
139;3,7777777778
140;1,8571428571
141;2,6666666667
142;2,125
143;2,125
144;2
145;1,875
146;2,375
147;3,2222222222
148;3,8888888889
149;4
150;3,8333333333
151;4
152;4
153;4
154;4
155;3,8888888889
156;2,5
157;2,6666666667
158;3,5555555556
159;3,125
160;3,5555555556
161;4
162;3
163;3,6666666667
164;1,75
165;3,75
166;2,875
167;3,75
168;3,2857142857
169;3,5555555556
170;3
171;2,4444444444
172;3,4444444444
173;3,25
174;3,625
175;2,75
176;2,1666666667
177;2,375
178;3,7777777778
179;2,5
180;3,375
181;3,7777777778
182;3,375
183;2,75
184;2,8
185;3,5
186;3,6666666667
187;4
188;3,3333333333
189;3,3333333333
190;3,1666666667
191;2,5714285714
192;4
193;3,6666666667
194;3,8888888889
195;3,8888888889
196;4
197;3,2222222222
198;1,875
199;2,125
200;3,7777777778
201;2,75
202;4
203;3,6
204;2,5555555556
205;2,6666666667
206;3,5555555556
207;3
208;3,625
209;3,4
210;3
211;4
212;3,5555555556
213;3,5
214;3
215;3,4444444444
216;3,2222222222
217;3,2222222222
218;1,7142857143
219;3,6666666667
220;2,875
221;4
222;3,3333333333
223;3,1111111111
224;3,125
225;3,2857142857
226;3,25
227;2,8888888889
228;3,2222222222
229;3,2222222222
230;3,2
231;2,6666666667
232;3,625
233;3,625
234;3,625
235;2,2222222222
236;2,3333333333
237;3,5
238;3,6666666667
239;3,2222222222
240;3,125
241;3,8888888889
242;4
243;3
244;2,3333333333
245;3,8888888889
246;2,8888888889
247;2,5555555556
248;3,8888888889
249;2,7142857143
250;3,7777777778
251;3,4444444444
252;2,3333333333
253;3,7777777778
254;3
255;3,6666666667
256;2,5555555556
257;2,8888888889
258;1,4444444444
259;3,6666666667
260;3,125
261;3,5555555556
262;2,8888888889
263;4
264;1,625
265;3,25
266;4
267;2,5555555556
268;3,1111111111
269;3,1111111111
270;3,4285714286
271;3,5
272;3,625
273;2,1428571429
274;2,4444444444
275;2,875
276;1,3333333333
277;3,2222222222
278;3,3333333333
279;3,1666666667
280;2,5
281;2,5
282;3,6666666667
283;1,8888888889
284;3,625
285;2,1111111111
286;3,2222222222
287;1,5555555556
288;4
289;4
290;2,75
291;2,8333333333
292;3,2222222222
293;3
294;1,4444444444
295;3,7777777778
296;4
297;4
298;3,75
299;3,4285714286
300;3,4444444444
301;2,7777777778
302;4
303;3,5714285714
304;4
305;2,2222222222
306;3,1428571429
307;3,6666666667
308;3,2222222222
309;3,3333333333
310;3,4444444444
311;2,8571428571
312;2,1111111111
313;2,7142857143
314;3,1111111111
315;4
316;3,75
317;3,7777777778
318;2,3333333333
319;2,375
320;1,875
321;1,7142857143
322;3,7777777778
323;3,2857142857
324;3,2222222222
325;3,3333333333
326;2,6666666667
327;3,4285714286
328;2,2222222222
329;2,125
330;3,5
331;3,375
332;3,5
333;3,375
334;3,3333333333
335;2,3333333333
336;2,6666666667
337;4
338;2
339;2,875
340;1,2222222222
341;3,5
342;4
343;3,5
344;3
345;2,6666666667
346;2,5
347;3,75
348;2,7142857143
349;3,8888888889
350;1,7777777778
351;2,4444444444
352;2,7142857143
353;2,7777777778
354;3,5555555556
355;3,8333333333
356;2,7142857143
357;3,375
358;2,7142857143
359;3,75
360;1,8888888889
361;3,6666666667
362;2,875
363;2,8571428571
364;2,7777777778
365;4
366;1,4444444444
367;2,8888888889
368;2,7777777778
369;3,3333333333
370;3,875
371;3,25
372;3
373;1,6666666667
374;2,4444444444
375;3,6666666667
376;2,8571428571
377;3,1428571429
378;3,1111111111
379;2,7777777778
380;4
381;3,5555555556
382;3,75
383;1,25
384;3,3333333333
385;3
386;3,125
387;3,7777777778
388;3,1111111111
389;1,3333333333
390;3
391;3,6666666667
392;1,375
393;2,375
394;2,4444444444
395;2,6666666667
396;2,8888888889
397;3,1111111111
398;3,875
399;2,8888888889
400;2,5555555556
401;2,6666666667
402;3,2222222222
403;3,5714285714
404;3,3333333333
405;1,8888888889
406;3,3333333333
407;3,6666666667
408;3,4444444444
409;3,125
410;2,7777777778
411;3,5555555556
412;3,3333333333
413;3,5555555556
414;2,6666666667
415;2,125
416;1,8888888889
417;3,2857142857
418;2,4285714286
419;2,875
420;3,2222222222
421;3,7777777778
422;3,6
423;2,7777777778
424;4
425;2,25
426;3
427;3,2222222222
428;3,8888888889
429;3,6666666667
430;2,8571428571
431;3,7142857143
432;3,125
433;4
434;4
435;2,2222222222
436;2,3333333333
437;3,3333333333
438;2,6666666667
439;3
440;3,375
441;3,1428571429
442;2,8888888889
443;3,3333333333
444;3
445;3,1666666667
446;3,2857142857
447;1
448;1,4444444444
449;2,8888888889
450;3,75
451;3,875
452;2,3333333333
453;3,5714285714
454;1,875
455;3
456;1,7777777778
457;3,5714285714
458;2,4444444444
459;2,5555555556
460;4
461;2,625
462;3,3333333333
463;4
464;1,8888888889
465;2,5714285714
466;3
467;2,875
468;1,625
469;3,7142857143
