;factor2
1;3,8333333333
2;3
3;3
4;1,5
5;2,8181818182
6;2,7777777778
7;1,9
8;3,75
9;2,8571428571
10;3,3333333333
11;3,4545454545
12;2,3333333333
13;3,4
14;3,25
15;2,9
16;3,4285714286
17;3,5714285714
18;3,25
19;2,9090909091
20;2,9166666667
21;3,6666666667
22;3,0909090909
23;3,3636363636
24;3,0833333333
25;1,6
26;2,7777777778
27;3
28;3
29;2,3333333333
30;3,8181818182
31;3,5
32;3,25
33;4
34;3,8181818182
35;3,125
36;3
37;2,625
38;2,8
39;3,25
40;3,6363636364
41;3,8
42;3,6363636364
43;2,9
44;3,8333333333
45;3,4166666667
46;2,9166666667
47;3
48;4
49;2,5
50;3,0833333333
51;3,8333333333
52;2,7272727273
53;3,8181818182
54;2,2222222222
55;3,8333333333
56;3,3333333333
57;3,9
58;3,6
59;3,75
60;2,5714285714
61;3
62;4
63;3,1428571429
64;3
65;3,9166666667
66;3,5
67;2,8333333333
68;1,8333333333
69;3,4166666667
70;3
71;2,75
72;3,5
73;3
74;3
75;3,75
76;3,1111111111
77;3,25
78;3,125
79;3,2
80;4
81;3,8333333333
82;3,0833333333
83;2,5
84;3,1111111111
85;2,25
86;2,7
87;3,1428571429
88;2,8571428571
89;3,5
90;3,5
91;3,2222222222
92;3,6363636364
93;3
94;1,8888888889
95;3,6666666667
96;3
97;3,7777777778
98;3,25
99;1,6666666667
100;3,9166666667
101;3,1111111111
102;3,5454545455
103;3,75
104;2,8
105;3
106;3
107;1,8333333333
108;1,4166666667
109;3
110;3,8333333333
111;4
112;3,6363636364
113;2,6666666667
114;3,3636363636
115;3,0833333333
116;2,8333333333
117;3,5
118;2,9090909091
119;2,8333333333
120;2,5
121;1,875
122;3
123;1,2222222222
124;2,2
125;2,6666666667
126;2,6666666667
127;2
128;2,6666666667
129;1,75
130;2,7
131;3,6363636364
132;1,25
133;1,8333333333
134;2,9166666667
135;2,0909090909
136;3,2727272727
137;2
138;2,1666666667
139;3,8333333333
140;2,2857142857
141;2,1666666667
142;2,6
143;2,4
144;2,8888888889
145;2,5714285714
146;2,5
147;2,7272727273
148;3,25
149;4
150;3,6
151;4
152;4
153;3,75
154;3,8333333333
155;3,8181818182
156;2,75
157;2,9166666667
158;3,4166666667
159;3,8333333333
160;3
161;3,75
162;3,3333333333
163;4
164;2,2222222222
165;3,5
166;2,8888888889
167;3,9
168;3,5555555556
169;3,8
170;3,0833333333
171;2,7272727273
172;3,25
173;3,2
174;3,1818181818
175;2,7
176;2,8333333333
177;2,7272727273
178;3,6363636364
179;2,8333333333
180;3,1
181;3,25
182;3,1818181818
183;3,2
184;3
185;3,9090909091
186;3,6666666667
187;3,9166666667
188;3,5833333333
189;3,8333333333
190;3,5454545455
191;3,4444444444
192;3,3333333333
193;3,8333333333
194;3,8333333333
195;3,8
196;3,7272727273
197;2,9166666667
198;1,6
199;3,1428571429
200;3,2727272727
201;2,3333333333
202;4
203;3,3333333333
204;3,0833333333
205;3
206;3,9166666667
207;3,1818181818
208;3,6363636364
209;3,2
210;3
211;2,75
212;3,6666666667
213;3
214;3,5
215;3,1
216;3
217;3,25
218;2
219;3,4444444444
220;3
221;3,8571428571
222;2,5833333333
223;3,2
224;3,5454545455
225;2,875
226;3,4166666667
227;3
228;3,4444444444
229;3,0833333333
230;3,5
231;3,0833333333
232;3,4
233;3,5833333333
234;3,6666666667
235;2,75
236;2,8333333333
237;4
238;3,4545454545
239;2,9166666667
240;3
241;3,5
242;3,4
243;3,4444444444
244;2,6666666667
245;3,7777777778
246;3
247;2,6666666667
248;3,5
249;2,8888888889
250;3,9166666667
251;3,75
252;2,9166666667
253;3,7777777778
254;3,5454545455
255;3,75
256;2,8
257;3,3333333333
258;1,8333333333
259;3,5
260;2,5454545455
261;3,1818181818
262;2,8333333333
263;4
264;2,3
265;3
266;3,25
267;2,75
268;3,5833333333
269;3,1
270;3
271;3,375
272;3,125
273;2,6363636364
274;2,5
275;2,8
276;1,75
277;3,25
278;3,3333333333
279;3,0909090909
280;2,8888888889
281;2,6363636364
282;3,6666666667
283;2,3333333333
284;2,9
285;2,6363636364
286;2,75
287;2,3333333333
288;4
289;3,8333333333
290;3,1818181818
291;2,8888888889
292;2,9166666667
293;2,9166666667
294;1,5
295;3,9166666667
296;3,8333333333
297;4
298;3,1818181818
299;3,5
300;3
301;2,75
302;4
303;3,4545454545
304;4
305;2,9166666667
306;3,5
307;3,75
308;3,3333333333
309;3,5
310;3,5
311;3,1111111111
312;2,3333333333
313;2,6666666667
314;2,8333333333
315;4
316;3,5555555556
317;3,6666666667
318;2,4
319;2,7
320;2,2
321;1,4444444444
322;3,5833333333
323;3,3636363636
324;3,75
325;3,0833333333
326;2,6666666667
327;3,3333333333
328;2,6363636364
329;2,375
330;3,6
331;3,6
332;3,3333333333
333;3,6363636364
334;3,2
335;2,9166666667
336;3
337;3,7777777778
338;2,3333333333
339;2,4444444444
340;1,25
341;3,5
342;4
343;3,5454545455
344;3,1666666667
345;3
346;2,8181818182
347;3,75
348;2,75
349;3,9166666667
350;3,0833333333
351;2,5454545455
352;3,25
353;2,9166666667
354;3,9166666667
355;3,7
356;2,4285714286
357;4
358;2,5714285714
359;3,9090909091
360;2,3333333333
361;3,4166666667
362;2,7272727273
363;2,7272727273
364;3,5833333333
365;4
366;1,75
367;3
368;2,5
369;3,25
370;3,25
371;3,625
372;3,1666666667
373;2,0833333333
374;2,3636363636
375;3,5
376;3,2
377;3,4285714286
378;3,5833333333
379;3,3333333333
380;4
381;3,4545454545
382;3,5454545455
383;2
384;3,5454545455
385;2,75
386;3
387;3,4166666667
388;3,1111111111
389;2,1666666667
390;3
391;3
392;1,6666666667
393;2,3636363636
394;2,6666666667
395;2,75
396;2,8333333333
397;2,75
398;3,8181818182
399;3,0833333333
400;2,6666666667
401;3,0833333333
402;3,3333333333
403;3,1111111111
404;3,4166666667
405;1,4166666667
406;3,9166666667
407;3,5
408;3,5833333333
409;3,1818181818
410;2,9166666667
411;3,1666666667
412;4
413;3,8333333333
414;3,25
415;2,7272727273
416;2,7777777778
417;3,375
418;2,75
419;3,1
420;3,7272727273
421;3,9090909091
422;3,6
423;2,8181818182
424;4
425;3,1
426;2,8
427;3,1666666667
428;3,8333333333
429;3,9166666667
430;2,7272727273
431;3,7
432;3,5
433;4
434;4
435;2,2727272727
436;2,3333333333
437;3,1666666667
438;3,0833333333
439;3,5
440;3,4166666667
441;3
442;3,5
443;3,6666666667
444;2,3333333333
445;3,4
446;3,4
447;2,1
448;2,1666666667
449;3
450;3,8
451;3,75
452;2,8333333333
453;3,5555555556
454;2,8
455;3,3636363636
456;2,8
457;3,5
458;2,8
459;3
460;3,75
461;2,4
462;3,4166666667
463;3,8888888889
464;2,6
465;2,7142857143
466;2,7272727273
467;2,1666666667
468;1,9
469;3,5833333333
470;3
471;3,2727272727
472;3,4444444444
473;3,4545454545
474;2,4
475;3,5
476;2,2727272727
477;2,3636363636
478;2,5
479;2,8181818182
480;2,8181818182
481;2,7777777778
482;1,8888888889
483;2,3
484;3,3333333333
485;3
486;2,9166666667
487;3,3636363636
488;2
489;1
490;2,7777777778
491;1,3333333333
492;2,5833333333
493;2,5
494;3
495;2,25
496;2,4285714286
497;3,9090909091
498;1,9
499;3,2
500;3,1666666667
501;3
502;2,5833333333
503;3,5833333333
504;2,75
505;3,8
506;3,5833333333
507;3
508;2,7
509;3,4444444444
510;2,5
511;2,9090909091
512;3,5
513;3,3333333333
514;4
515;3,25
516;4
517;4
518;2,5
519;2,6666666667
520;4
521;3,6
522;2,7142857143
523;3,5
524;2,5
525;2,75
526;4
527;3
528;2
529;4
530;2,6
531;3,3333333333
532;2,5454545455
533;1,5
534;1,5833333333
535;3,6666666667
536;3,5555555556
537;3
538;3,9166666667
539;4
540;2,9090909091
541;2,6
542;3,5
543;2,3333333333
544;3,5
545;2,5555555556
546;2,4166666667
547;3,5
548;3,1111111111
549;1,7777777778
550;3,25
551;3,1666666667
552;3
553;2,2
554;3,0833333333
555;2,8
556;3,8571428571
557;3,1666666667
558;3,7
559;3,7777777778
560;2,5
561;2,4166666667
562;1,9166666667
563;2,9166666667
564;3
565;3,5833333333
566;3,3333333333
567;3,3333333333
568;3,9166666667
569;3,2222222222
570;3,2222222222
571;2,9166666667
572;3,4166666667
573;3,5
574;2,8181818182
575;2,4545454545
576;3,75
577;3,8333333333
578;2,9166666667
579;3,75
580;3,4
581;2,8571428571
582;2,8571428571
583;2,8571428571
584;3,1818181818
585;3
586;2
587;2,7
588;2,8181818182
589;2,7272727273
590;3,4444444444
591;4
592;3,5
593;3,7272727273
594;2,6363636364
595;3
596;2,6666666667
597;3,7777777778
598;3,1666666667
599;3,0833333333
600;2,9
601;3,75
602;2,8333333333
603;3,8181818182
604;2,2727272727
605;2,5
606;3,1
607;2,6363636364
608;3,1428571429
609;2,7
610;3,0833333333
611;2,8888888889
612;2,5
613;2,9166666667
614;2,25
615;2,8333333333
616;3
617;3
618;3,0833333333
619;2,1666666667
620;4
621;3,0833333333
622;3,0909090909
623;3
624;3,0909090909
625;2,1666666667
626;4
627;2,4444444444
628;3
629;2,3333333333
630;2,8181818182
631;2,75
632;3,5454545455
633;3,4166666667
634;2,5454545455
635;3,2
636;2,8333333333
637;2,6666666667
638;2,5833333333
639;3,2727272727
640;3,1428571429
641;3,5
642;3
643;4
644;3,8333333333
645;3,1818181818
646;3,8333333333
647;3,5833333333
648;3,5833333333
649;3
650;2,8
651;4
652;3,1666666667
653;2,6666666667
654;3,3333333333
655;3,0833333333
656;2,8333333333
657;3,2
658;2,2
